EmployeeID,FirstName,LastName,Gender,Email,Phone,DateOfBirth,Department,Position,Salary,HireDate
1,Eric,Guzman,Male,qshelton@yahoo.com,602-770-5338x8453,1980-10-19,Customer Support,Developer,53233.92,2019-06-07
2,Kenneth,Graham,Male,fwood@lutz.com,752-724-2100,1981-08-21,Finance,Manager,65301.83,2016-05-26
3,Renee,Hendrix,Female,clinealicia@thompson.net,(332)917-4497,1969-11-29,Customer Support,Developer,61248.82,2016-12-28
4,Jon,Curtis,Male,cassandrawest@reed.com,001-474-493-8117,1964-01-29,Customer Support,Engineer,112405.32,2015-02-15
5,Michelle,Harris,Female,joannacarlson@hotmail.com,9052247567,1987-02-13,IT,Executive,75245.89,2015-02-13
6,Amanda,Moore,Female,sandersfrederick@hotmail.com,(369)122-5075x856,1976-11-20,Finance,Consultant,72714.13,2020-07-09
7,Steven,Russell,Female,smithjenny@lopez.com,(355)972-3474x23336,1966-06-15,Finance,Assistant,71174.67,2017-01-07
8,Colleen,Martinez,Male,ibaker@gmail.com,+1-164-045-9895,1993-01-20,IT,Developer,66661.03,2016-01-21
9,Tina,Mueller,Male,denise97@yahoo.com,915-753-7432x6108,1965-08-08,Marketing,Consultant,72559.77,2023-01-18
10,James,Peters,Female,robert91@winters.org,(432)697-5906x982,1989-07-03,IT,Analyst,50246.14,2021-11-19
11,Christine,Rogers,Other,jaredchristian@miller.info,008-192-3194x3843,1978-08-08,Customer Support,Coordinator,52945.94,2017-03-20
12,Diana,Best,Male,wendyguerra@gmail.com,(340)757-5352x53983,1992-03-05,IT,Executive,69368.12,2016-09-04
13,Andrea,Andrews,Female,janice81@hotmail.com,577-999-4076,1982-08-05,Marketing,Engineer,111653.73,2024-05-23
14,John,Johnson,Female,michael16@fernandez-macdonald.com,871.427.6327,1989-01-15,Marketing,Analyst,113291.52,2017-06-27
15,Jeremy,Park,Female,kentshawn@lucas-lyons.com,749.320.5618x21043,1973-01-05,Finance,Coordinator,118759.28,2017-03-08
16,Dana,Johnson,Female,scottbrooks@yahoo.com,347.270.1674x82499,1968-01-18,Marketing,Manager,79401.07,2022-11-07
17,Michael,Frank,Other,baileymiranda@yahoo.com,001-200-011-5573x54296,1981-06-04,Operations,Assistant,98274.08,2023-11-01
18,Kristy,Garcia,Male,aaronmathews@hotmail.com,(896)216-1584,1983-10-28,Operations,Consultant,43324.8,2018-11-05
19,Matthew,Anderson,Female,andrewbrock@yahoo.com,984.846.1178x387,2001-03-04,Finance,Consultant,91370.49,2020-10-14
20,Rebecca,Duran,Male,perrykenneth@yahoo.com,801-734-5036x69220,1974-12-03,IT,Coordinator,57391.39,2024-04-02
21,Victor,Olsen,Other,sjohnson@hotmail.com,(826)091-8162x282,1986-07-24,IT,Analyst,66659.86,2022-12-12
22,Tina,Estrada,Other,westmegan@yahoo.com,113-084-7307x913,1990-02-23,Sales,Executive,65119.8,2023-11-30
23,Michael,Tanner,Other,christopher25@yahoo.com,+1-969-734-8606,1981-05-06,IT,Consultant,116839.71,2024-03-29
24,Robert,Wright,Other,susan93@lopez.com,710.279.0986x474,2000-12-22,HR,Executive,88499.9,2018-02-04
25,Emily,Benson,Male,lmartin@hotmail.com,+1-879-649-4327x4091,1976-12-30,IT,Consultant,74862.09,2023-08-25
26,Alan,Matthews,Female,ssmith@pitts-graham.com,619.266.2685x94521,1977-07-29,HR,Developer,74315.37,2022-04-18
27,Jonathan,Carey,Female,lisahickman@tran.com,001-455-368-0190,1988-12-25,Marketing,Analyst,97005.84,2017-04-27
28,Cheryl,Schmidt,Female,sarahortiz@yahoo.com,280-732-6696x33609,1969-01-27,Customer Support,Consultant,75427.85,2015-02-27
29,Kimberly,Ramirez,Male,megan18@harris.com,+1-115-813-4785x6363,1994-11-02,Customer Support,Coordinator,110554.55,2020-02-20
30,Timothy,Green,Other,cummingscarly@gmail.com,(746)697-8886x25949,1965-03-03,Customer Support,Executive,44382.47,2021-09-29
31,Holly,Gordon,Female,kathleengiles@boone.org,001-795-013-8140x79753,1992-12-22,Customer Support,Analyst,45845.53,2023-10-10
32,Susan,Nguyen,Male,epatterson@johnson-morris.com,5828322054,1998-12-01,Legal,Coordinator,50986.09,2021-05-09
33,Erica,Moore,Female,karinamyers@hotmail.com,001-256-140-7354,1982-03-27,Customer Support,Executive,70496.42,2020-05-30
34,David,Meyer,Other,hernandezjeffrey@richards.com,001-566-822-6180,1964-07-11,Operations,Consultant,72383.24,2019-06-27
35,Leonard,Branch,Other,fbryant@hotmail.com,9124272792,1989-06-01,Finance,Manager,50356.12,2016-01-11
36,Steven,Jones,Male,jennifer79@gmail.com,263.605.9488x847,1972-08-29,Customer Support,Manager,50304.46,2016-08-21
37,Gregory,Richardson,Other,rachel49@caldwell.com,(063)670-2094x0299,1981-12-05,Customer Support,Manager,112867.29,2022-01-01
38,Emily,Jones,Other,butlermaria@walker.org,(110)101-9861,2001-02-10,Marketing,Developer,91762.27,2023-01-21
39,Christine,Bell,Female,josephparsons@yahoo.com,237.696.9649x85381,1985-05-05,Customer Support,Executive,62293.44,2019-04-09
40,Jennifer,Dodson,Female,dana77@hotmail.com,603.978.2726x26377,2002-02-04,IT,Engineer,118349.29,2016-05-25
41,Margaret,English,Male,ebrewer@hotmail.com,001-558-811-8538x27409,1967-05-23,Customer Support,Developer,49686.5,2016-10-05
42,Jeremy,Harris,Male,robert51@carr.info,001-951-164-4529x52498,1989-11-26,Legal,Assistant,94176.23,2021-10-18
43,Brandon,Pratt,Female,yaustin@johnson.org,+1-567-142-2207x6119,1980-04-02,IT,Developer,98116.25,2017-06-24
44,Chase,Smith,Other,williamskristen@knight.org,001-645-148-3529x0962,1991-10-23,Finance,Analyst,118144.97,2024-06-20
45,Kevin,Palmer,Female,pherrera@carter-robertson.biz,(991)001-1663x61217,1981-11-19,IT,Consultant,92620.25,2023-12-25
46,Patrick,Davis,Female,whiteashley@gmail.com,544.928.9734,1985-01-15,HR,Coordinator,93277.27,2020-09-19
47,Daniel,Bridges,Other,mooreeric@yahoo.com,(889)350-9807,1970-06-01,Sales,Analyst,51268.51,2015-06-21
48,Samuel,Parker,Female,kperez@yahoo.com,001-865-368-0810,1970-02-14,Sales,Analyst,79198.44,2023-04-07
